Name,URL,Price,Ratings,Reviews,Description,ASIN,Manufacturer
        Mokobara The Transit Backpack Laptop Bag for Men and Women       ,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09980192KXA2PDWFYC7J&url=%2FMokobara-Transit-Backpack-Laptop-Private%2Fdp%2FB09V7G6CTW%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1658611204%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26psc%3D1%26smid%3DA2ZJIE4OXD710M&qualifier=1658611204&id=8916496087421063&widgetName=sp_atf,"5,590",4.3,82,"   Care Instructions: Wipe with Damp Cloth    Incredible functionality with a sleek minimalist design.    Crafted with durable, water-resistant materials and premium zippers.    Separate tech compartment with 5 pockets at the back to hold your laptop, ipad, books and chargers securely.    Fits upto 16 inches of laptop & a large tablet/ipad.    We love our products. If anything breaks we fix or replace it for you. Your MOKOBARA comes with a 12 months warranty. Just write to us at hello@mokobara.com.To enjoy paperless warranty registration visit: mokobara.com/warranty    
",B09V7G6CTW,"Designed By Mokobara Lifestyle Private Limited, Bangalore."
NA,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01666031UDKFT7UL670E&url=%2FMokobara-Backpack-Laptop-Pretzel-Limited%2Fdp%2FB09WVH41X9%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1658611204%26smid%3DA2ZJIE4OXD710M%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26psc%3D1%26smid%3DA2ZJIE4OXD710M&qualifier=1658611204&id=8916496087421063&widgetName=sp_atf,"4,490",4.1,74,NA,NA,Manufacturer
NA,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1658611204&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-3,"1,099",4.1,"42,643",NA,NA,Manufacturer
        Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy)       ,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_omk_4?crid=2M096C61O4MLT&keywords=bags&qid=1658611204&smid=A1UVZJ9N7FK5G6&sprefix=ba%2Caps%2C283&sr=8-4,645,3.9,"11,189","   SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, menं and womenं    PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.    OTHER FEATURES: Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.    
",B085MHDJ93,Amazing Bags
"        TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )       ",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1658611204&sprefix=ba%2Caps%2C283&sr=8-5,699,3.9,482,"   ➧ Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.    Style Name: Traditional Backpacks; Pocket Description: Utility Pocket    ➧ PREMIUM MATERIAL: Made from high quality, waterproof Polyester material in grey color. Premium quality smooth zippers, pullers, buckles.    Highly Water Resistant Material: This Backpack is water-resistant. The material is the reversed side of 1680D special polyester, which is waterproof, tear-resistant, anti-scratch and built for lasting durability.    
",B09QJ7ZF2Y,NA
NA,https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sxin_13?asc_contentid=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df%3Aamzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df&creativeASIN=B075Y72PHZ&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B075Y72PHZ&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=IobMK&pd_rd_wg=9Cae5&pf_rd_p=9e10f444-3bae-445e-87e0-7b61ac6588df&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=htsyndicate-21,749,4.2,"43,166","  Compatible With 15.6"" Laptop : The Lenovo B210 Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 453g. High Quality, Durable and Water Repellent Fabric : This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items Convenient Travel : Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use. Fits Up To (L x D x H) 255 x 22 x 362 mm  ",None,NA
        Killer Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack       ,https://www.amazon.in/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07CDD6YS2/ref=sxin_13?asc_contentid=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df%3Aamzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df&creativeASIN=B07CDD6YS2&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07CDD6YS2&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=IobMK&pd_rd_wg=9Cae5&pf_rd_p=9e10f444-3bae-445e-87e0-7b61ac6588df&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&smid=A20PVHIS8DLHRJ&sprefix=ba%2Caps%2C283&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=htsyndicate-21,"1,599",4.4,"10,172","   Care Instructions: Hand Wash Only    3 Large Compartments, 1 Easy access front Pocket with organizer section & 2 mesh side pocket    Outer Fabric: Durable PU coated Polyester Fabric, inner abric: Strong PU coated polyester fabtic, Hip Strap : No    Well cushioned Laptop compartment for upto 15.6 inch Laptop and spacious enough to carry for two days cloths    Weight: 800gm    Dimensions: 13.00x18.75x9.50 inches (WxHxD)    
",B07CDD6YS2,Ambrosia Bags
NA,https://www.amazon.in/Jaden-Black-Theft-Waterproof-Backpack/dp/B07B1TFJ7M/ref=sxin_13?asc_contentid=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df%3Aamzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df&creativeASIN=B07B1TFJ7M&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07B1TFJ7M&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=IobMK&pd_rd_wg=9Cae5&pf_rd_p=9e10f444-3bae-445e-87e0-7b61ac6588df&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=htsyndicate-21,799,4.0,"4,824",NA,NA,Manufacturer & Seller
        Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack       ,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sxin_13?asc_contentid=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df%3Aamzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df&creativeASIN=B07K8KLB3P&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.a1063c2d-7e5b-46bc-b262-f1dc5a11c9a6.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07K8KLB3P&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=IobMK&pd_rd_wg=9Cae5&pf_rd_p=9e10f444-3bae-445e-87e0-7b61ac6588df&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=htsyndicate-21,448,4.3,"10,597","   Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex    Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps    Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks    Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket    Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry    
› See more product details ",NA,NA
NA,https://www.amazon.in/Dyazo-13-3-MacBook-laptops-Notebooks/dp/B09X643Z2W/ref=sxin_14_trfobq2a_0_B09X643Z2W?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09X643Z2W&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=MmaVg&pd_rd_wg=9Cae5&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&sprefix=ba%2Caps%2C283&sr=1-1-b004551b-c118-419d-8e9d-9986d39b90c2,339,4.5,129,"  Innovative Design: This Laptop Sleeve Is Made Of Fluffy Fleece As A Internal Material And Oxford Fabric Which Helps In Keeping Your Devices Safe And Provide All Around Protection Laptop Sleeve With Handle : Makes It Easy To Carry Now No Worry Ever You Travelling Dyazo Laptop Sleeve Will Protect Your Laptop While You Travel ,Go To College ,Office ,Ect The Slim Design Makes It Easy To Carry In Your Laptop With The Sleeve In Your Backpack ,Breifcase ,Bag Designed For Most 13.3 Inch Laptops & Notebooks Maximum Fit Size And Easy To Use, Practical Design And Exquisite Workmanship. Inner Dimension: 34cm X 25cm X 2.5cm, External Dimension: 35.5cm X 25.5cm X 3.0cm  ",None,None
